	Chr	Start	End	Name	Band.type	Color
1	chr1	0	2300000	p36.33	gneg	#f7f7f7
2	chr1	2300000	5400000	p36.32	gpos25	#cccccc
3	chr1	5400000	7200000	p36.31	gneg	#f7f7f7
4	chr1	7200000	9200000	p36.23	gpos25	#cccccc
5	chr1	9200000	12700000	p36.22	gneg	#f7f7f7
6	chr1	12700000	16200000	p36.21	gpos50	#969696
7	chr1	16200000	20400000	p36.13	gneg	#f7f7f7
8	chr1	20400000	23900000	p36.12	gpos25	#cccccc
9	chr1	23900000	28000000	p36.11	gneg	#f7f7f7
10	chr1	28000000	30200000	p35.3	gpos25	#cccccc
11	chr1	30200000	32400000	p35.2	gneg	#f7f7f7
12	chr1	32400000	34600000	p35.1	gpos25	#cccccc
13	chr1	34600000	40100000	p34.3	gneg	#f7f7f7
14	chr1	40100000	44100000	p34.2	gpos25	#cccccc
15	chr1	44100000	46800000	p34.1	gneg	#f7f7f7
16	chr1	46800000	50700000	p33	gpos75	#636363
17	chr1	50700000	56100000	p32.3	gneg	#f7f7f7
18	chr1	56100000	59000000	p32.2	gpos50	#969696
19	chr1	59000000	61300000	p32.1	gneg	#f7f7f7
20	chr1	61300000	68900000	p31.3	gpos50	#969696
21	chr1	68900000	69700000	p31.2	gneg	#f7f7f7
22	chr1	69700000	84900000	p31.1	gpos100	#252525
23	chr1	84900000	88400000	p22.3	gneg	#f7f7f7
24	chr1	88400000	92000000	p22.2	gpos75	#636363
25	chr1	92000000	94700000	p22.1	gneg	#f7f7f7
26	chr1	94700000	99700000	p21.3	gpos75	#636363
27	chr1	99700000	102200000	p21.2	gneg	#f7f7f7
28	chr1	102200000	107200000	p21.1	gpos100	#252525
29	chr1	107200000	111800000	p13.3	gneg	#f7f7f7
30	chr1	111800000	116100000	p13.2	gpos50	#969696
31	chr1	116100000	117800000	p13.1	gneg	#f7f7f7
32	chr1	117800000	120600000	p12	gpos50	#969696
33	chr1	120600000	121500000	p11.2	gneg	#f7f7f7
34	chr1	121500000	125000000	p11.1	acen	#2b8cbe
35	chr1	125000000	128900000	q11	acen	#2b8cbe
36	chr1	128900000	142600000	q12	gvar	#045a8d
37	chr1	142600000	147000000	q21.1	gneg	#f7f7f7
38	chr1	147000000	150300000	q21.2	gpos50	#969696
39	chr1	150300000	155000000	q21.3	gneg	#f7f7f7
40	chr1	155000000	156500000	q22	gpos50	#969696
41	chr1	156500000	159100000	q23.1	gneg	#f7f7f7
42	chr1	159100000	160500000	q23.2	gpos50	#969696
43	chr1	160500000	165500000	q23.3	gneg	#f7f7f7
44	chr1	165500000	167200000	q24.1	gpos50	#969696
45	chr1	167200000	170900000	q24.2	gneg	#f7f7f7
46	chr1	170900000	172900000	q24.3	gpos75	#636363
47	chr1	172900000	176000000	q25.1	gneg	#f7f7f7
48	chr1	176000000	180300000	q25.2	gpos50	#969696
49	chr1	180300000	185800000	q25.3	gneg	#f7f7f7
50	chr1	185800000	190800000	q31.1	gpos100	#252525
51	chr1	190800000	193800000	q31.2	gneg	#f7f7f7
52	chr1	193800000	198700000	q31.3	gpos100	#252525
53	chr1	198700000	207200000	q32.1	gneg	#f7f7f7
54	chr1	207200000	211500000	q32.2	gpos25	#cccccc
55	chr1	211500000	214500000	q32.3	gneg	#f7f7f7
56	chr1	214500000	224100000	q41	gpos100	#252525
57	chr1	224100000	224600000	q42.11	gneg	#f7f7f7
58	chr1	224600000	227000000	q42.12	gpos25	#cccccc
59	chr1	227000000	230700000	q42.13	gneg	#f7f7f7
60	chr1	230700000	234700000	q42.2	gpos50	#969696
61	chr1	234700000	236600000	q42.3	gneg	#f7f7f7
62	chr1	236600000	243700000	q43	gpos75	#636363
63	chr1	243700000	249250621	q44	gneg	#f7f7f7
64	chr2	0	4400000	p25.3	gneg	#f7f7f7
65	chr2	4400000	7100000	p25.2	gpos50	#969696
66	chr2	7100000	12200000	p25.1	gneg	#f7f7f7
67	chr2	12200000	16700000	p24.3	gpos75	#636363
68	chr2	16700000	19200000	p24.2	gneg	#f7f7f7
69	chr2	19200000	24000000	p24.1	gpos75	#636363
70	chr2	24000000	27900000	p23.3	gneg	#f7f7f7
71	chr2	27900000	30000000	p23.2	gpos25	#cccccc
72	chr2	30000000	32100000	p23.1	gneg	#f7f7f7
73	chr2	32100000	36600000	p22.3	gpos75	#636363
74	chr2	36600000	38600000	p22.2	gneg	#f7f7f7
75	chr2	38600000	41800000	p22.1	gpos50	#969696
76	chr2	41800000	47800000	p21	gneg	#f7f7f7
77	chr2	47800000	52900000	p16.3	gpos100	#252525
78	chr2	52900000	55000000	p16.2	gneg	#f7f7f7
79	chr2	55000000	61300000	p16.1	gpos100	#252525
80	chr2	61300000	64100000	p15	gneg	#f7f7f7
81	chr2	64100000	68600000	p14	gpos50	#969696
82	chr2	68600000	71500000	p13.3	gneg	#f7f7f7
83	chr2	71500000	73500000	p13.2	gpos50	#969696
84	chr2	73500000	75000000	p13.1	gneg	#f7f7f7
85	chr2	75000000	83300000	p12	gpos100	#252525
86	chr2	83300000	90500000	p11.2	gneg	#f7f7f7
87	chr2	90500000	93300000	p11.1	acen	#2b8cbe
88	chr2	93300000	96800000	q11.1	acen	#2b8cbe
89	chr2	96800000	102700000	q11.2	gneg	#f7f7f7
90	chr2	102700000	106000000	q12.1	gpos50	#969696
91	chr2	106000000	107500000	q12.2	gneg	#f7f7f7
92	chr2	107500000	110200000	q12.3	gpos25	#cccccc
93	chr2	110200000	114400000	q13	gneg	#f7f7f7
94	chr2	114400000	118800000	q14.1	gpos50	#969696
95	chr2	118800000	122400000	q14.2	gneg	#f7f7f7
96	chr2	122400000	129900000	q14.3	gpos50	#969696
97	chr2	129900000	132500000	q21.1	gneg	#f7f7f7
98	chr2	132500000	135100000	q21.2	gpos25	#cccccc
99	chr2	135100000	136800000	q21.3	gneg	#f7f7f7
100	chr2	136800000	142200000	q22.1	gpos100	#252525
101	chr2	142200000	144100000	q22.2	gneg	#f7f7f7
102	chr2	144100000	148700000	q22.3	gpos100	#252525
103	chr2	148700000	149900000	q23.1	gneg	#f7f7f7
104	chr2	149900000	150500000	q23.2	gpos25	#cccccc
105	chr2	150500000	154900000	q23.3	gneg	#f7f7f7
106	chr2	154900000	159800000	q24.1	gpos75	#636363
107	chr2	159800000	163700000	q24.2	gneg	#f7f7f7
108	chr2	163700000	169700000	q24.3	gpos75	#636363
109	chr2	169700000	178000000	q31.1	gneg	#f7f7f7
110	chr2	178000000	180600000	q31.2	gpos50	#969696
111	chr2	180600000	183000000	q31.3	gneg	#f7f7f7
112	chr2	183000000	189400000	q32.1	gpos75	#636363
113	chr2	189400000	191900000	q32.2	gneg	#f7f7f7
114	chr2	191900000	197400000	q32.3	gpos75	#636363
115	chr2	197400000	203300000	q33.1	gneg	#f7f7f7
116	chr2	203300000	204900000	q33.2	gpos50	#969696
117	chr2	204900000	209000000	q33.3	gneg	#f7f7f7
118	chr2	209000000	215300000	q34	gpos100	#252525
119	chr2	215300000	221500000	q35	gneg	#f7f7f7
120	chr2	221500000	225200000	q36.1	gpos75	#636363
121	chr2	225200000	226100000	q36.2	gneg	#f7f7f7
122	chr2	226100000	231000000	q36.3	gpos100	#252525
123	chr2	231000000	235600000	q37.1	gneg	#f7f7f7
124	chr2	235600000	237300000	q37.2	gpos50	#969696
125	chr2	237300000	243199373	q37.3	gneg	#f7f7f7
126	chr3	0	2800000	p26.3	gpos50	#969696
127	chr3	2800000	4000000	p26.2	gneg	#f7f7f7
128	chr3	4000000	8700000	p26.1	gpos50	#969696
129	chr3	8700000	11800000	p25.3	gneg	#f7f7f7
130	chr3	11800000	13300000	p25.2	gpos25	#cccccc
131	chr3	13300000	16400000	p25.1	gneg	#f7f7f7
132	chr3	16400000	23900000	p24.3	gpos100	#252525
133	chr3	23900000	26400000	p24.2	gneg	#f7f7f7
134	chr3	26400000	30900000	p24.1	gpos75	#636363
135	chr3	30900000	32100000	p23	gneg	#f7f7f7
136	chr3	32100000	36500000	p22.3	gpos50	#969696
137	chr3	36500000	39400000	p22.2	gneg	#f7f7f7
138	chr3	39400000	43700000	p22.1	gpos75	#636363
139	chr3	43700000	44100000	p21.33	gneg	#f7f7f7
140	chr3	44100000	44200000	p21.32	gpos50	#969696
141	chr3	44200000	50600000	p21.31	gneg	#f7f7f7
142	chr3	50600000	52300000	p21.2	gpos25	#cccccc
143	chr3	52300000	54400000	p21.1	gneg	#f7f7f7
144	chr3	54400000	58600000	p14.3	gpos50	#969696
145	chr3	58600000	63700000	p14.2	gneg	#f7f7f7
146	chr3	63700000	69800000	p14.1	gpos50	#969696
147	chr3	69800000	74200000	p13	gneg	#f7f7f7
148	chr3	74200000	79800000	p12.3	gpos75	#636363
149	chr3	79800000	83500000	p12.2	gneg	#f7f7f7
150	chr3	83500000	87200000	p12.1	gpos75	#636363
151	chr3	87200000	87900000	p11.2	gneg	#f7f7f7
152	chr3	87900000	91000000	p11.1	acen	#2b8cbe
153	chr3	91000000	93900000	q11.1	acen	#2b8cbe
154	chr3	93900000	98300000	q11.2	gvar	#045a8d
155	chr3	98300000	100000000	q12.1	gneg	#f7f7f7
156	chr3	100000000	100900000	q12.2	gpos25	#cccccc
157	chr3	100900000	102800000	q12.3	gneg	#f7f7f7
158	chr3	102800000	106200000	q13.11	gpos75	#636363
159	chr3	106200000	107900000	q13.12	gneg	#f7f7f7
160	chr3	107900000	111300000	q13.13	gpos50	#969696
161	chr3	111300000	113500000	q13.2	gneg	#f7f7f7
162	chr3	113500000	117300000	q13.31	gpos75	#636363
163	chr3	117300000	119000000	q13.32	gneg	#f7f7f7
164	chr3	119000000	121900000	q13.33	gpos75	#636363
165	chr3	121900000	123800000	q21.1	gneg	#f7f7f7
166	chr3	123800000	125800000	q21.2	gpos25	#cccccc
167	chr3	125800000	129200000	q21.3	gneg	#f7f7f7
168	chr3	129200000	133700000	q22.1	gpos25	#cccccc
169	chr3	133700000	135700000	q22.2	gneg	#f7f7f7
170	chr3	135700000	138700000	q22.3	gpos25	#cccccc
171	chr3	138700000	142800000	q23	gneg	#f7f7f7
172	chr3	142800000	148900000	q24	gpos100	#252525
173	chr3	148900000	152100000	q25.1	gneg	#f7f7f7
174	chr3	152100000	155000000	q25.2	gpos50	#969696
175	chr3	155000000	157000000	q25.31	gneg	#f7f7f7
176	chr3	157000000	159000000	q25.32	gpos50	#969696
177	chr3	159000000	160700000	q25.33	gneg	#f7f7f7
178	chr3	160700000	167600000	q26.1	gpos100	#252525
179	chr3	167600000	170900000	q26.2	gneg	#f7f7f7
180	chr3	170900000	175700000	q26.31	gpos75	#636363
181	chr3	175700000	179000000	q26.32	gneg	#f7f7f7
182	chr3	179000000	182700000	q26.33	gpos75	#636363
183	chr3	182700000	184500000	q27.1	gneg	#f7f7f7
184	chr3	184500000	186000000	q27.2	gpos25	#cccccc
185	chr3	186000000	187900000	q27.3	gneg	#f7f7f7
186	chr3	187900000	192300000	q28	gpos75	#636363
187	chr3	192300000	198022430	q29	gneg	#f7f7f7
188	chr4	0	4500000	p16.3	gneg	#f7f7f7
189	chr4	4500000	6000000	p16.2	gpos25	#cccccc
190	chr4	6000000	11300000	p16.1	gneg	#f7f7f7
191	chr4	11300000	15200000	p15.33	gpos50	#969696
192	chr4	15200000	17800000	p15.32	gneg	#f7f7f7
193	chr4	17800000	21300000	p15.31	gpos75	#636363
194	chr4	21300000	27700000	p15.2	gneg	#f7f7f7
195	chr4	27700000	35800000	p15.1	gpos100	#252525
196	chr4	35800000	41200000	p14	gneg	#f7f7f7
197	chr4	41200000	44600000	p13	gpos50	#969696
198	chr4	44600000	48200000	p12	gneg	#f7f7f7
199	chr4	48200000	50400000	p11	acen	#2b8cbe
200	chr4	50400000	52700000	q11	acen	#2b8cbe
201	chr4	52700000	59500000	q12	gneg	#f7f7f7
202	chr4	59500000	66600000	q13.1	gpos100	#252525
203	chr4	66600000	70500000	q13.2	gneg	#f7f7f7
204	chr4	70500000	76300000	q13.3	gpos75	#636363
205	chr4	76300000	78900000	q21.1	gneg	#f7f7f7
206	chr4	78900000	82400000	q21.21	gpos50	#969696
207	chr4	82400000	84100000	q21.22	gneg	#f7f7f7
208	chr4	84100000	86900000	q21.23	gpos25	#cccccc
209	chr4	86900000	88000000	q21.3	gneg	#f7f7f7
210	chr4	88000000	93700000	q22.1	gpos75	#636363
211	chr4	93700000	95100000	q22.2	gneg	#f7f7f7
212	chr4	95100000	98800000	q22.3	gpos75	#636363
213	chr4	98800000	101100000	q23	gneg	#f7f7f7
214	chr4	101100000	107700000	q24	gpos50	#969696
215	chr4	107700000	114100000	q25	gneg	#f7f7f7
216	chr4	114100000	120800000	q26	gpos75	#636363
217	chr4	120800000	123800000	q27	gneg	#f7f7f7
218	chr4	123800000	128800000	q28.1	gpos50	#969696
219	chr4	128800000	131100000	q28.2	gneg	#f7f7f7
220	chr4	131100000	139500000	q28.3	gpos100	#252525
221	chr4	139500000	141500000	q31.1	gneg	#f7f7f7
222	chr4	141500000	146800000	q31.21	gpos25	#cccccc
223	chr4	146800000	148500000	q31.22	gneg	#f7f7f7
224	chr4	148500000	151100000	q31.23	gpos25	#cccccc
225	chr4	151100000	155600000	q31.3	gneg	#f7f7f7
226	chr4	155600000	161800000	q32.1	gpos100	#252525
227	chr4	161800000	164500000	q32.2	gneg	#f7f7f7
228	chr4	164500000	170100000	q32.3	gpos100	#252525
229	chr4	170100000	171900000	q33	gneg	#f7f7f7
230	chr4	171900000	176300000	q34.1	gpos75	#636363
231	chr4	176300000	177500000	q34.2	gneg	#f7f7f7
232	chr4	177500000	183200000	q34.3	gpos100	#252525
233	chr4	183200000	187100000	q35.1	gneg	#f7f7f7
234	chr4	187100000	191154276	q35.2	gpos25	#cccccc
235	chr5	0	4500000	p15.33	gneg	#f7f7f7
236	chr5	4500000	6300000	p15.32	gpos25	#cccccc
237	chr5	6300000	9800000	p15.31	gneg	#f7f7f7
238	chr5	9800000	15000000	p15.2	gpos50	#969696
239	chr5	15000000	18400000	p15.1	gneg	#f7f7f7
240	chr5	18400000	23300000	p14.3	gpos100	#252525
241	chr5	23300000	24600000	p14.2	gneg	#f7f7f7
242	chr5	24600000	28900000	p14.1	gpos100	#252525
243	chr5	28900000	33800000	p13.3	gneg	#f7f7f7
244	chr5	33800000	38400000	p13.2	gpos25	#cccccc
245	chr5	38400000	42500000	p13.1	gneg	#f7f7f7
246	chr5	42500000	46100000	p12	gpos50	#969696
247	chr5	46100000	48400000	p11	acen	#2b8cbe
248	chr5	48400000	50700000	q11.1	acen	#2b8cbe
249	chr5	50700000	58900000	q11.2	gneg	#f7f7f7
250	chr5	58900000	62900000	q12.1	gpos75	#636363
251	chr5	62900000	63200000	q12.2	gneg	#f7f7f7
252	chr5	63200000	66700000	q12.3	gpos75	#636363
253	chr5	66700000	68400000	q13.1	gneg	#f7f7f7
254	chr5	68400000	73300000	q13.2	gpos50	#969696
255	chr5	73300000	76900000	q13.3	gneg	#f7f7f7
256	chr5	76900000	81400000	q14.1	gpos50	#969696
257	chr5	81400000	82800000	q14.2	gneg	#f7f7f7
258	chr5	82800000	92300000	q14.3	gpos100	#252525
259	chr5	92300000	98200000	q15	gneg	#f7f7f7
260	chr5	98200000	102800000	q21.1	gpos100	#252525
261	chr5	102800000	104500000	q21.2	gneg	#f7f7f7
262	chr5	104500000	109600000	q21.3	gpos100	#252525
263	chr5	109600000	111500000	q22.1	gneg	#f7f7f7
264	chr5	111500000	113100000	q22.2	gpos50	#969696
265	chr5	113100000	115200000	q22.3	gneg	#f7f7f7
266	chr5	115200000	121400000	q23.1	gpos100	#252525
267	chr5	121400000	127300000	q23.2	gneg	#f7f7f7
268	chr5	127300000	130600000	q23.3	gpos100	#252525
269	chr5	130600000	136200000	q31.1	gneg	#f7f7f7
270	chr5	136200000	139500000	q31.2	gpos25	#cccccc
271	chr5	139500000	144500000	q31.3	gneg	#f7f7f7
272	chr5	144500000	149800000	q32	gpos75	#636363
273	chr5	149800000	152700000	q33.1	gneg	#f7f7f7
274	chr5	152700000	155700000	q33.2	gpos50	#969696
275	chr5	155700000	159900000	q33.3	gneg	#f7f7f7
276	chr5	159900000	168500000	q34	gpos100	#252525
277	chr5	168500000	172800000	q35.1	gneg	#f7f7f7
278	chr5	172800000	176600000	q35.2	gpos25	#cccccc
279	chr5	176600000	180915260	q35.3	gneg	#f7f7f7
280	chr6	0	2300000	p25.3	gneg	#f7f7f7
281	chr6	2300000	4200000	p25.2	gpos25	#cccccc
282	chr6	4200000	7100000	p25.1	gneg	#f7f7f7
283	chr6	7100000	10600000	p24.3	gpos50	#969696
284	chr6	10600000	11600000	p24.2	gneg	#f7f7f7
285	chr6	11600000	13400000	p24.1	gpos25	#cccccc
286	chr6	13400000	15200000	p23	gneg	#f7f7f7
287	chr6	15200000	25200000	p22.3	gpos75	#636363
288	chr6	25200000	27000000	p22.2	gneg	#f7f7f7
289	chr6	27000000	30400000	p22.1	gpos50	#969696
290	chr6	30400000	32100000	p21.33	gneg	#f7f7f7
291	chr6	32100000	33500000	p21.32	gpos25	#cccccc
292	chr6	33500000	36600000	p21.31	gneg	#f7f7f7
293	chr6	36600000	40500000	p21.2	gpos25	#cccccc
294	chr6	40500000	46200000	p21.1	gneg	#f7f7f7
295	chr6	46200000	51800000	p12.3	gpos100	#252525
296	chr6	51800000	52900000	p12.2	gneg	#f7f7f7
297	chr6	52900000	57000000	p12.1	gpos100	#252525
298	chr6	57000000	58700000	p11.2	gneg	#f7f7f7
299	chr6	58700000	61000000	p11.1	acen	#2b8cbe
300	chr6	61000000	63300000	q11.1	acen	#2b8cbe
301	chr6	63300000	63400000	q11.2	gneg	#f7f7f7
302	chr6	63400000	70000000	q12	gpos100	#252525
303	chr6	70000000	75900000	q13	gneg	#f7f7f7
304	chr6	75900000	83900000	q14.1	gpos50	#969696
305	chr6	83900000	84900000	q14.2	gneg	#f7f7f7
306	chr6	84900000	88000000	q14.3	gpos50	#969696
307	chr6	88000000	93100000	q15	gneg	#f7f7f7
308	chr6	93100000	99500000	q16.1	gpos100	#252525
309	chr6	99500000	100600000	q16.2	gneg	#f7f7f7
310	chr6	100600000	105500000	q16.3	gpos100	#252525
311	chr6	105500000	114600000	q21	gneg	#f7f7f7
312	chr6	114600000	118300000	q22.1	gpos75	#636363
313	chr6	118300000	118500000	q22.2	gneg	#f7f7f7
314	chr6	118500000	126100000	q22.31	gpos100	#252525
315	chr6	126100000	127100000	q22.32	gneg	#f7f7f7
316	chr6	127100000	130300000	q22.33	gpos75	#636363
317	chr6	130300000	131200000	q23.1	gneg	#f7f7f7
318	chr6	131200000	135200000	q23.2	gpos50	#969696
319	chr6	135200000	139000000	q23.3	gneg	#f7f7f7
320	chr6	139000000	142800000	q24.1	gpos75	#636363
321	chr6	142800000	145600000	q24.2	gneg	#f7f7f7
322	chr6	145600000	149000000	q24.3	gpos75	#636363
323	chr6	149000000	152500000	q25.1	gneg	#f7f7f7
324	chr6	152500000	155500000	q25.2	gpos50	#969696
325	chr6	155500000	161000000	q25.3	gneg	#f7f7f7
326	chr6	161000000	164500000	q26	gpos50	#969696
327	chr6	164500000	171115067	q27	gneg	#f7f7f7
328	chr7	0	2800000	p22.3	gneg	#f7f7f7
329	chr7	2800000	4500000	p22.2	gpos25	#cccccc
330	chr7	4500000	7300000	p22.1	gneg	#f7f7f7
331	chr7	7300000	13800000	p21.3	gpos100	#252525
332	chr7	13800000	16500000	p21.2	gneg	#f7f7f7
333	chr7	16500000	20900000	p21.1	gpos100	#252525
334	chr7	20900000	25500000	p15.3	gneg	#f7f7f7
335	chr7	25500000	28000000	p15.2	gpos50	#969696
336	chr7	28000000	28800000	p15.1	gneg	#f7f7f7
337	chr7	28800000	35000000	p14.3	gpos75	#636363
338	chr7	35000000	37200000	p14.2	gneg	#f7f7f7
339	chr7	37200000	43300000	p14.1	gpos75	#636363
340	chr7	43300000	45400000	p13	gneg	#f7f7f7
341	chr7	45400000	49000000	p12.3	gpos75	#636363
342	chr7	49000000	50500000	p12.2	gneg	#f7f7f7
343	chr7	50500000	54000000	p12.1	gpos75	#636363
344	chr7	54000000	58000000	p11.2	gneg	#f7f7f7
345	chr7	58000000	59900000	p11.1	acen	#2b8cbe
346	chr7	59900000	61700000	q11.1	acen	#2b8cbe
347	chr7	61700000	67000000	q11.21	gneg	#f7f7f7
348	chr7	67000000	72200000	q11.22	gpos50	#969696
349	chr7	72200000	77500000	q11.23	gneg	#f7f7f7
350	chr7	77500000	86400000	q21.11	gpos100	#252525
351	chr7	86400000	88200000	q21.12	gneg	#f7f7f7
352	chr7	88200000	91100000	q21.13	gpos75	#636363
353	chr7	91100000	92800000	q21.2	gneg	#f7f7f7
354	chr7	92800000	98000000	q21.3	gpos75	#636363
355	chr7	98000000	103800000	q22.1	gneg	#f7f7f7
356	chr7	103800000	104500000	q22.2	gpos50	#969696
357	chr7	104500000	107400000	q22.3	gneg	#f7f7f7
358	chr7	107400000	114600000	q31.1	gpos75	#636363
359	chr7	114600000	117400000	q31.2	gneg	#f7f7f7
360	chr7	117400000	121100000	q31.31	gpos75	#636363
361	chr7	121100000	123800000	q31.32	gneg	#f7f7f7
362	chr7	123800000	127100000	q31.33	gpos75	#636363
363	chr7	127100000	129200000	q32.1	gneg	#f7f7f7
364	chr7	129200000	130400000	q32.2	gpos25	#cccccc
365	chr7	130400000	132600000	q32.3	gneg	#f7f7f7
366	chr7	132600000	138200000	q33	gpos50	#969696
367	chr7	138200000	143100000	q34	gneg	#f7f7f7
368	chr7	143100000	147900000	q35	gpos75	#636363
369	chr7	147900000	152600000	q36.1	gneg	#f7f7f7
370	chr7	152600000	155100000	q36.2	gpos25	#cccccc
371	chr7	155100000	159138663	q36.3	gneg	#f7f7f7
372	chr8	0	2200000	p23.3	gneg	#f7f7f7
373	chr8	2200000	6200000	p23.2	gpos75	#636363
374	chr8	6200000	12700000	p23.1	gneg	#f7f7f7
375	chr8	12700000	19000000	p22	gpos100	#252525
376	chr8	19000000	23300000	p21.3	gneg	#f7f7f7
377	chr8	23300000	27400000	p21.2	gpos50	#969696
378	chr8	27400000	28800000	p21.1	gneg	#f7f7f7
379	chr8	28800000	36500000	p12	gpos75	#636363
380	chr8	36500000	38300000	p11.23	gneg	#f7f7f7
381	chr8	38300000	39700000	p11.22	gpos25	#cccccc
382	chr8	39700000	43100000	p11.21	gneg	#f7f7f7
383	chr8	43100000	45600000	p11.1	acen	#2b8cbe
384	chr8	45600000	48100000	q11.1	acen	#2b8cbe
385	chr8	48100000	52200000	q11.21	gneg	#f7f7f7
386	chr8	52200000	52600000	q11.22	gpos75	#636363
387	chr8	52600000	55500000	q11.23	gneg	#f7f7f7
388	chr8	55500000	61600000	q12.1	gpos50	#969696
389	chr8	61600000	62200000	q12.2	gneg	#f7f7f7
390	chr8	62200000	66000000	q12.3	gpos50	#969696
391	chr8	66000000	68000000	q13.1	gneg	#f7f7f7
392	chr8	68000000	70500000	q13.2	gpos50	#969696
393	chr8	70500000	73900000	q13.3	gneg	#f7f7f7
394	chr8	73900000	78300000	q21.11	gpos100	#252525
395	chr8	78300000	80100000	q21.12	gneg	#f7f7f7
396	chr8	80100000	84600000	q21.13	gpos75	#636363
397	chr8	84600000	86900000	q21.2	gneg	#f7f7f7
398	chr8	86900000	93300000	q21.3	gpos100	#252525
399	chr8	93300000	99000000	q22.1	gneg	#f7f7f7
400	chr8	99000000	101600000	q22.2	gpos25	#cccccc
401	chr8	101600000	106200000	q22.3	gneg	#f7f7f7
402	chr8	106200000	110500000	q23.1	gpos75	#636363
403	chr8	110500000	112100000	q23.2	gneg	#f7f7f7
404	chr8	112100000	117700000	q23.3	gpos100	#252525
405	chr8	117700000	119200000	q24.11	gneg	#f7f7f7
406	chr8	119200000	122500000	q24.12	gpos50	#969696
407	chr8	122500000	127300000	q24.13	gneg	#f7f7f7
408	chr8	127300000	131500000	q24.21	gpos50	#969696
409	chr8	131500000	136400000	q24.22	gneg	#f7f7f7
410	chr8	136400000	139900000	q24.23	gpos75	#636363
411	chr8	139900000	146364022	q24.3	gneg	#f7f7f7
412	chr9	0	2200000	p24.3	gneg	#f7f7f7
413	chr9	2200000	4600000	p24.2	gpos25	#cccccc
414	chr9	4600000	9000000	p24.1	gneg	#f7f7f7
415	chr9	9000000	14200000	p23	gpos75	#636363
416	chr9	14200000	16600000	p22.3	gneg	#f7f7f7
417	chr9	16600000	18500000	p22.2	gpos25	#cccccc
418	chr9	18500000	19900000	p22.1	gneg	#f7f7f7
419	chr9	19900000	25600000	p21.3	gpos100	#252525
420	chr9	25600000	28000000	p21.2	gneg	#f7f7f7
421	chr9	28000000	33200000	p21.1	gpos100	#252525
422	chr9	33200000	36300000	p13.3	gneg	#f7f7f7
423	chr9	36300000	38400000	p13.2	gpos25	#cccccc
424	chr9	38400000	41000000	p13.1	gneg	#f7f7f7
425	chr9	41000000	43600000	p12	gpos50	#969696
426	chr9	43600000	47300000	p11.2	gneg	#f7f7f7
427	chr9	47300000	49000000	p11.1	acen	#2b8cbe
428	chr9	49000000	50700000	q11	acen	#2b8cbe
429	chr9	50700000	65900000	q12	gvar	#045a8d
430	chr9	65900000	68700000	q13	gneg	#f7f7f7
431	chr9	68700000	72200000	q21.11	gpos25	#cccccc
432	chr9	72200000	74000000	q21.12	gneg	#f7f7f7
