	Chr	Start	End	Name	Band.type	Color
433	chr9	74000000	79200000	q21.13	gpos50	#969696
434	chr9	79200000	81100000	q21.2	gneg	#f7f7f7
435	chr9	81100000	84100000	q21.31	gpos50	#969696
436	chr9	84100000	86900000	q21.32	gneg	#f7f7f7
437	chr9	86900000	90400000	q21.33	gpos50	#969696
438	chr9	90400000	91800000	q22.1	gneg	#f7f7f7
439	chr9	91800000	93900000	q22.2	gpos25	#cccccc
440	chr9	93900000	96600000	q22.31	gneg	#f7f7f7
441	chr9	96600000	99300000	q22.32	gpos25	#cccccc
442	chr9	99300000	102600000	q22.33	gneg	#f7f7f7
443	chr9	102600000	108200000	q31.1	gpos100	#252525
444	chr9	108200000	111300000	q31.2	gneg	#f7f7f7
445	chr9	111300000	114900000	q31.3	gpos25	#cccccc
446	chr9	114900000	117700000	q32	gneg	#f7f7f7
447	chr9	117700000	122500000	q33.1	gpos75	#636363
448	chr9	122500000	125800000	q33.2	gneg	#f7f7f7
449	chr9	125800000	130300000	q33.3	gpos25	#cccccc
450	chr9	130300000	133500000	q34.11	gneg	#f7f7f7
451	chr9	133500000	134000000	q34.12	gpos25	#cccccc
452	chr9	134000000	135900000	q34.13	gneg	#f7f7f7
453	chr9	135900000	137400000	q34.2	gpos25	#cccccc
454	chr9	137400000	141213431	q34.3	gneg	#f7f7f7
455	chr10	0	3000000	p15.3	gneg	#f7f7f7
456	chr10	3000000	3800000	p15.2	gpos25	#cccccc
457	chr10	3800000	6600000	p15.1	gneg	#f7f7f7
458	chr10	6600000	12200000	p14	gpos75	#636363
459	chr10	12200000	17300000	p13	gneg	#f7f7f7
460	chr10	17300000	18600000	p12.33	gpos75	#636363
461	chr10	18600000	18700000	p12.32	gneg	#f7f7f7
462	chr10	18700000	22600000	p12.31	gpos75	#636363
463	chr10	22600000	24600000	p12.2	gneg	#f7f7f7
464	chr10	24600000	29600000	p12.1	gpos50	#969696
465	chr10	29600000	31300000	p11.23	gneg	#f7f7f7
466	chr10	31300000	34400000	p11.22	gpos25	#cccccc
467	chr10	34400000	38000000	p11.21	gneg	#f7f7f7
468	chr10	38000000	40200000	p11.1	acen	#2b8cbe
469	chr10	40200000	42300000	q11.1	acen	#2b8cbe
470	chr10	42300000	46100000	q11.21	gneg	#f7f7f7
471	chr10	46100000	49900000	q11.22	gpos25	#cccccc
472	chr10	49900000	52900000	q11.23	gneg	#f7f7f7
473	chr10	52900000	61200000	q21.1	gpos100	#252525
474	chr10	61200000	64500000	q21.2	gneg	#f7f7f7
475	chr10	64500000	70600000	q21.3	gpos100	#252525
476	chr10	70600000	74900000	q22.1	gneg	#f7f7f7
477	chr10	74900000	77700000	q22.2	gpos50	#969696
478	chr10	77700000	82000000	q22.3	gneg	#f7f7f7
479	chr10	82000000	87900000	q23.1	gpos100	#252525
480	chr10	87900000	89500000	q23.2	gneg	#f7f7f7
481	chr10	89500000	92900000	q23.31	gpos75	#636363
482	chr10	92900000	94100000	q23.32	gneg	#f7f7f7
483	chr10	94100000	97000000	q23.33	gpos50	#969696
484	chr10	97000000	99300000	q24.1	gneg	#f7f7f7
485	chr10	99300000	101900000	q24.2	gpos50	#969696
486	chr10	101900000	103000000	q24.31	gneg	#f7f7f7
487	chr10	103000000	104900000	q24.32	gpos25	#cccccc
488	chr10	104900000	105800000	q24.33	gneg	#f7f7f7
489	chr10	105800000	111900000	q25.1	gpos100	#252525
490	chr10	111900000	114900000	q25.2	gneg	#f7f7f7
491	chr10	114900000	119100000	q25.3	gpos75	#636363
492	chr10	119100000	121700000	q26.11	gneg	#f7f7f7
493	chr10	121700000	123100000	q26.12	gpos50	#969696
494	chr10	123100000	127500000	q26.13	gneg	#f7f7f7
495	chr10	127500000	130600000	q26.2	gpos50	#969696
496	chr10	130600000	135534747	q26.3	gneg	#f7f7f7
497	chr11	0	2800000	p15.5	gneg	#f7f7f7
498	chr11	2800000	10700000	p15.4	gpos50	#969696
499	chr11	10700000	12700000	p15.3	gneg	#f7f7f7
500	chr11	12700000	16200000	p15.2	gpos50	#969696
501	chr11	16200000	21700000	p15.1	gneg	#f7f7f7
502	chr11	21700000	26100000	p14.3	gpos100	#252525
503	chr11	26100000	27200000	p14.2	gneg	#f7f7f7
504	chr11	27200000	31000000	p14.1	gpos75	#636363
505	chr11	31000000	36400000	p13	gneg	#f7f7f7
506	chr11	36400000	43500000	p12	gpos100	#252525
507	chr11	43500000	48800000	p11.2	gneg	#f7f7f7
508	chr11	48800000	51600000	p11.12	gpos75	#636363
509	chr11	51600000	53700000	p11.11	acen	#2b8cbe
510	chr11	53700000	55700000	q11	acen	#2b8cbe
511	chr11	55700000	59900000	q12.1	gpos75	#636363
512	chr11	59900000	61700000	q12.2	gneg	#f7f7f7
513	chr11	61700000	63400000	q12.3	gpos25	#cccccc
514	chr11	63400000	65900000	q13.1	gneg	#f7f7f7
515	chr11	65900000	68400000	q13.2	gpos25	#cccccc
516	chr11	68400000	70400000	q13.3	gneg	#f7f7f7
517	chr11	70400000	75200000	q13.4	gpos50	#969696
518	chr11	75200000	77100000	q13.5	gneg	#f7f7f7
519	chr11	77100000	85600000	q14.1	gpos100	#252525
520	chr11	85600000	88300000	q14.2	gneg	#f7f7f7
521	chr11	88300000	92800000	q14.3	gpos100	#252525
522	chr11	92800000	97200000	q21	gneg	#f7f7f7
523	chr11	97200000	102100000	q22.1	gpos100	#252525
524	chr11	102100000	102900000	q22.2	gneg	#f7f7f7
525	chr11	102900000	110400000	q22.3	gpos100	#252525
526	chr11	110400000	112500000	q23.1	gneg	#f7f7f7
527	chr11	112500000	114500000	q23.2	gpos50	#969696
528	chr11	114500000	121200000	q23.3	gneg	#f7f7f7
529	chr11	121200000	123900000	q24.1	gpos50	#969696
530	chr11	123900000	127800000	q24.2	gneg	#f7f7f7
531	chr11	127800000	130800000	q24.3	gpos50	#969696
532	chr11	130800000	135006516	q25	gneg	#f7f7f7
533	chr12	0	3300000	p13.33	gneg	#f7f7f7
534	chr12	3300000	5400000	p13.32	gpos25	#cccccc
535	chr12	5400000	10100000	p13.31	gneg	#f7f7f7
536	chr12	10100000	12800000	p13.2	gpos75	#636363
537	chr12	12800000	14800000	p13.1	gneg	#f7f7f7
538	chr12	14800000	20000000	p12.3	gpos100	#252525
539	chr12	20000000	21300000	p12.2	gneg	#f7f7f7
540	chr12	21300000	26500000	p12.1	gpos100	#252525
541	chr12	26500000	27800000	p11.23	gneg	#f7f7f7
542	chr12	27800000	30700000	p11.22	gpos50	#969696
543	chr12	30700000	33300000	p11.21	gneg	#f7f7f7
544	chr12	33300000	35800000	p11.1	acen	#2b8cbe
545	chr12	35800000	38200000	q11	acen	#2b8cbe
546	chr12	38200000	46400000	q12	gpos100	#252525
547	chr12	46400000	49100000	q13.11	gneg	#f7f7f7
548	chr12	49100000	51500000	q13.12	gpos25	#cccccc
549	chr12	51500000	54900000	q13.13	gneg	#f7f7f7
550	chr12	54900000	56600000	q13.2	gpos25	#cccccc
551	chr12	56600000	58100000	q13.3	gneg	#f7f7f7
552	chr12	58100000	63100000	q14.1	gpos75	#636363
553	chr12	63100000	65100000	q14.2	gneg	#f7f7f7
554	chr12	65100000	67700000	q14.3	gpos50	#969696
555	chr12	67700000	71500000	q15	gneg	#f7f7f7
556	chr12	71500000	75700000	q21.1	gpos75	#636363
557	chr12	75700000	80300000	q21.2	gneg	#f7f7f7
558	chr12	80300000	86700000	q21.31	gpos100	#252525
559	chr12	86700000	89000000	q21.32	gneg	#f7f7f7
560	chr12	89000000	92600000	q21.33	gpos100	#252525
561	chr12	92600000	96200000	q22	gneg	#f7f7f7
562	chr12	96200000	101600000	q23.1	gpos75	#636363
563	chr12	101600000	103800000	q23.2	gneg	#f7f7f7
564	chr12	103800000	109000000	q23.3	gpos50	#969696
565	chr12	109000000	111700000	q24.11	gneg	#f7f7f7
566	chr12	111700000	112300000	q24.12	gpos25	#cccccc
567	chr12	112300000	114300000	q24.13	gneg	#f7f7f7
568	chr12	114300000	116800000	q24.21	gpos50	#969696
569	chr12	116800000	118100000	q24.22	gneg	#f7f7f7
570	chr12	118100000	120700000	q24.23	gpos50	#969696
571	chr12	120700000	125900000	q24.31	gneg	#f7f7f7
572	chr12	125900000	129300000	q24.32	gpos50	#969696
573	chr12	129300000	133851895	q24.33	gneg	#f7f7f7
574	chr13	0	4500000	p13	gvar	#045a8d
575	chr13	4500000	10000000	p12	stalk	#be8c2b
576	chr13	10000000	16300000	p11.2	gvar	#045a8d
577	chr13	16300000	17900000	p11.1	acen	#2b8cbe
578	chr13	17900000	19500000	q11	acen	#2b8cbe
579	chr13	19500000	23300000	q12.11	gneg	#f7f7f7
580	chr13	23300000	25500000	q12.12	gpos25	#cccccc
581	chr13	25500000	27800000	q12.13	gneg	#f7f7f7
582	chr13	27800000	28900000	q12.2	gpos25	#cccccc
583	chr13	28900000	32200000	q12.3	gneg	#f7f7f7
584	chr13	32200000	34000000	q13.1	gpos50	#969696
585	chr13	34000000	35500000	q13.2	gneg	#f7f7f7
586	chr13	35500000	40100000	q13.3	gpos75	#636363
587	chr13	40100000	45200000	q14.11	gneg	#f7f7f7
588	chr13	45200000	45800000	q14.12	gpos25	#cccccc
589	chr13	45800000	47300000	q14.13	gneg	#f7f7f7
590	chr13	47300000	50900000	q14.2	gpos50	#969696
591	chr13	50900000	55300000	q14.3	gneg	#f7f7f7
592	chr13	55300000	59600000	q21.1	gpos100	#252525
593	chr13	59600000	62300000	q21.2	gneg	#f7f7f7
594	chr13	62300000	65700000	q21.31	gpos75	#636363
595	chr13	65700000	68600000	q21.32	gneg	#f7f7f7
596	chr13	68600000	73300000	q21.33	gpos100	#252525
597	chr13	73300000	75400000	q22.1	gneg	#f7f7f7
598	chr13	75400000	77200000	q22.2	gpos50	#969696
599	chr13	77200000	79000000	q22.3	gneg	#f7f7f7
600	chr13	79000000	87700000	q31.1	gpos100	#252525
601	chr13	87700000	90000000	q31.2	gneg	#f7f7f7
602	chr13	90000000	95000000	q31.3	gpos100	#252525
603	chr13	95000000	98200000	q32.1	gneg	#f7f7f7
604	chr13	98200000	99300000	q32.2	gpos25	#cccccc
605	chr13	99300000	101700000	q32.3	gneg	#f7f7f7
606	chr13	101700000	104800000	q33.1	gpos100	#252525
607	chr13	104800000	107000000	q33.2	gneg	#f7f7f7
608	chr13	107000000	110300000	q33.3	gpos100	#252525
609	chr13	110300000	115169878	q34	gneg	#f7f7f7
610	chr14	0	3700000	p13	gvar	#045a8d
611	chr14	3700000	8100000	p12	stalk	#be8c2b
612	chr14	8100000	16100000	p11.2	gvar	#045a8d
613	chr14	16100000	17600000	p11.1	acen	#2b8cbe
614	chr14	17600000	19100000	q11.1	acen	#2b8cbe
615	chr14	19100000	24600000	q11.2	gneg	#f7f7f7
616	chr14	24600000	33300000	q12	gpos100	#252525
617	chr14	33300000	35300000	q13.1	gneg	#f7f7f7
618	chr14	35300000	36600000	q13.2	gpos50	#969696
619	chr14	36600000	37800000	q13.3	gneg	#f7f7f7
620	chr14	37800000	43500000	q21.1	gpos100	#252525
621	chr14	43500000	47200000	q21.2	gneg	#f7f7f7
622	chr14	47200000	50900000	q21.3	gpos100	#252525
623	chr14	50900000	54100000	q22.1	gneg	#f7f7f7
624	chr14	54100000	55500000	q22.2	gpos25	#cccccc
625	chr14	55500000	58100000	q22.3	gneg	#f7f7f7
626	chr14	58100000	62100000	q23.1	gpos75	#636363
627	chr14	62100000	64800000	q23.2	gneg	#f7f7f7
628	chr14	64800000	67900000	q23.3	gpos50	#969696
629	chr14	67900000	70200000	q24.1	gneg	#f7f7f7
630	chr14	70200000	73800000	q24.2	gpos50	#969696
631	chr14	73800000	79300000	q24.3	gneg	#f7f7f7
632	chr14	79300000	83600000	q31.1	gpos100	#252525
633	chr14	83600000	84900000	q31.2	gneg	#f7f7f7
634	chr14	84900000	89800000	q31.3	gpos100	#252525
635	chr14	89800000	91900000	q32.11	gneg	#f7f7f7
636	chr14	91900000	94700000	q32.12	gpos25	#cccccc
637	chr14	94700000	96300000	q32.13	gneg	#f7f7f7
638	chr14	96300000	101400000	q32.2	gpos50	#969696
639	chr14	101400000	103200000	q32.31	gneg	#f7f7f7
640	chr14	103200000	104000000	q32.32	gpos50	#969696
641	chr14	104000000	107349540	q32.33	gneg	#f7f7f7
642	chr15	0	3900000	p13	gvar	#045a8d
643	chr15	3900000	8700000	p12	stalk	#be8c2b
644	chr15	8700000	15800000	p11.2	gvar	#045a8d
645	chr15	15800000	19000000	p11.1	acen	#2b8cbe
646	chr15	19000000	20700000	q11.1	acen	#2b8cbe
647	chr15	20700000	25700000	q11.2	gneg	#f7f7f7
648	chr15	25700000	28100000	q12	gpos50	#969696
649	chr15	28100000	30300000	q13.1	gneg	#f7f7f7
650	chr15	30300000	31200000	q13.2	gpos50	#969696
651	chr15	31200000	33600000	q13.3	gneg	#f7f7f7
652	chr15	33600000	40100000	q14	gpos75	#636363
653	chr15	40100000	42800000	q15.1	gneg	#f7f7f7
654	chr15	42800000	43600000	q15.2	gpos25	#cccccc
655	chr15	43600000	44800000	q15.3	gneg	#f7f7f7
656	chr15	44800000	49500000	q21.1	gpos75	#636363
657	chr15	49500000	52900000	q21.2	gneg	#f7f7f7
658	chr15	52900000	59100000	q21.3	gpos75	#636363
659	chr15	59100000	59300000	q22.1	gneg	#f7f7f7
660	chr15	59300000	63700000	q22.2	gpos25	#cccccc
661	chr15	63700000	67200000	q22.31	gneg	#f7f7f7
662	chr15	67200000	67300000	q22.32	gpos25	#cccccc
663	chr15	67300000	67500000	q22.33	gneg	#f7f7f7
664	chr15	67500000	72700000	q23	gpos25	#cccccc
665	chr15	72700000	75200000	q24.1	gneg	#f7f7f7
666	chr15	75200000	76600000	q24.2	gpos25	#cccccc
667	chr15	76600000	78300000	q24.3	gneg	#f7f7f7
668	chr15	78300000	81700000	q25.1	gpos50	#969696
669	chr15	81700000	85200000	q25.2	gneg	#f7f7f7
670	chr15	85200000	89100000	q25.3	gpos50	#969696
671	chr15	89100000	94300000	q26.1	gneg	#f7f7f7
672	chr15	94300000	98500000	q26.2	gpos50	#969696
673	chr15	98500000	102531392	q26.3	gneg	#f7f7f7
674	chr16	0	7900000	p13.3	gneg	#f7f7f7
675	chr16	7900000	10500000	p13.2	gpos50	#969696
676	chr16	10500000	12600000	p13.13	gneg	#f7f7f7
677	chr16	12600000	14800000	p13.12	gpos50	#969696
678	chr16	14800000	16800000	p13.11	gneg	#f7f7f7
679	chr16	16800000	21200000	p12.3	gpos50	#969696
680	chr16	21200000	24200000	p12.2	gneg	#f7f7f7
681	chr16	24200000	28100000	p12.1	gpos50	#969696
682	chr16	28100000	34600000	p11.2	gneg	#f7f7f7
683	chr16	34600000	36600000	p11.1	acen	#2b8cbe
684	chr16	36600000	38600000	q11.1	acen	#2b8cbe
685	chr16	38600000	47000000	q11.2	gvar	#045a8d
686	chr16	47000000	52600000	q12.1	gneg	#f7f7f7
687	chr16	52600000	56700000	q12.2	gpos50	#969696
688	chr16	56700000	57400000	q13	gneg	#f7f7f7
689	chr16	57400000	66700000	q21	gpos100	#252525
690	chr16	66700000	70800000	q22.1	gneg	#f7f7f7
691	chr16	70800000	72900000	q22.2	gpos50	#969696
692	chr16	72900000	74100000	q22.3	gneg	#f7f7f7
693	chr16	74100000	79200000	q23.1	gpos75	#636363
694	chr16	79200000	81700000	q23.2	gneg	#f7f7f7
695	chr16	81700000	84200000	q23.3	gpos50	#969696
696	chr16	84200000	87100000	q24.1	gneg	#f7f7f7
697	chr16	87100000	88700000	q24.2	gpos25	#cccccc
698	chr16	88700000	90354753	q24.3	gneg	#f7f7f7
699	chr17	0	3300000	p13.3	gneg	#f7f7f7
700	chr17	3300000	6500000	p13.2	gpos50	#969696
701	chr17	6500000	10700000	p13.1	gneg	#f7f7f7
702	chr17	10700000	16000000	p12	gpos75	#636363
703	chr17	16000000	22200000	p11.2	gneg	#f7f7f7
704	chr17	22200000	24000000	p11.1	acen	#2b8cbe
705	chr17	24000000	25800000	q11.1	acen	#2b8cbe
706	chr17	25800000	31800000	q11.2	gneg	#f7f7f7
707	chr17	31800000	38100000	q12	gpos50	#969696
708	chr17	38100000	38400000	q21.1	gneg	#f7f7f7
709	chr17	38400000	40900000	q21.2	gpos25	#cccccc
710	chr17	40900000	44900000	q21.31	gneg	#f7f7f7
711	chr17	44900000	47400000	q21.32	gpos25	#cccccc
712	chr17	47400000	50200000	q21.33	gneg	#f7f7f7
713	chr17	50200000	57600000	q22	gpos75	#636363
714	chr17	57600000	58300000	q23.1	gneg	#f7f7f7
715	chr17	58300000	61100000	q23.2	gpos75	#636363
716	chr17	61100000	62600000	q23.3	gneg	#f7f7f7
717	chr17	62600000	64200000	q24.1	gpos50	#969696
718	chr17	64200000	67100000	q24.2	gneg	#f7f7f7
719	chr17	67100000	70900000	q24.3	gpos75	#636363
720	chr17	70900000	74800000	q25.1	gneg	#f7f7f7
721	chr17	74800000	75300000	q25.2	gpos25	#cccccc
722	chr17	75300000	81195210	q25.3	gneg	#f7f7f7
723	chr18	0	2900000	p11.32	gneg	#f7f7f7
724	chr18	2900000	7100000	p11.31	gpos50	#969696
725	chr18	7100000	8500000	p11.23	gneg	#f7f7f7
726	chr18	8500000	10900000	p11.22	gpos25	#cccccc
727	chr18	10900000	15400000	p11.21	gneg	#f7f7f7
728	chr18	15400000	17200000	p11.1	acen	#2b8cbe
729	chr18	17200000	19000000	q11.1	acen	#2b8cbe
730	chr18	19000000	25000000	q11.2	gneg	#f7f7f7
731	chr18	25000000	32700000	q12.1	gpos100	#252525
732	chr18	32700000	37200000	q12.2	gneg	#f7f7f7
733	chr18	37200000	43500000	q12.3	gpos75	#636363
734	chr18	43500000	48200000	q21.1	gneg	#f7f7f7
735	chr18	48200000	53800000	q21.2	gpos75	#636363
736	chr18	53800000	56200000	q21.31	gneg	#f7f7f7
737	chr18	56200000	59000000	q21.32	gpos50	#969696
738	chr18	59000000	61600000	q21.33	gneg	#f7f7f7
739	chr18	61600000	66800000	q22.1	gpos100	#252525
740	chr18	66800000	68700000	q22.2	gneg	#f7f7f7
741	chr18	68700000	73100000	q22.3	gpos25	#cccccc
742	chr18	73100000	78077248	q23	gneg	#f7f7f7
743	chr19	0	6900000	p13.3	gneg	#f7f7f7
744	chr19	6900000	13900000	p13.2	gpos25	#cccccc
745	chr19	13900000	14000000	p13.13	gneg	#f7f7f7
746	chr19	14000000	16300000	p13.12	gpos25	#cccccc
747	chr19	16300000	20000000	p13.11	gneg	#f7f7f7
748	chr19	20000000	24400000	p12	gvar	#045a8d
749	chr19	24400000	26500000	p11	acen	#2b8cbe
750	chr19	26500000	28600000	q11	acen	#2b8cbe
751	chr19	28600000	32400000	q12	gvar	#045a8d
752	chr19	32400000	35500000	q13.11	gneg	#f7f7f7
753	chr19	35500000	38300000	q13.12	gpos25	#cccccc
754	chr19	38300000	38700000	q13.13	gneg	#f7f7f7
755	chr19	38700000	43400000	q13.2	gpos25	#cccccc
756	chr19	43400000	45200000	q13.31	gneg	#f7f7f7
757	chr19	45200000	48000000	q13.32	gpos25	#cccccc
758	chr19	48000000	51400000	q13.33	gneg	#f7f7f7
759	chr19	51400000	53600000	q13.41	gpos25	#cccccc
760	chr19	53600000	56300000	q13.42	gneg	#f7f7f7
761	chr19	56300000	59128983	q13.43	gpos25	#cccccc
762	chr20	0	5100000	p13	gneg	#f7f7f7
763	chr20	5100000	9200000	p12.3	gpos75	#636363
764	chr20	9200000	12100000	p12.2	gneg	#f7f7f7
765	chr20	12100000	17900000	p12.1	gpos75	#636363
766	chr20	17900000	21300000	p11.23	gneg	#f7f7f7
767	chr20	21300000	22300000	p11.22	gpos25	#cccccc
768	chr20	22300000	25600000	p11.21	gneg	#f7f7f7
769	chr20	25600000	27500000	p11.1	acen	#2b8cbe
770	chr20	27500000	29400000	q11.1	acen	#2b8cbe
771	chr20	29400000	32100000	q11.21	gneg	#f7f7f7
772	chr20	32100000	34400000	q11.22	gpos25	#cccccc
773	chr20	34400000	37600000	q11.23	gneg	#f7f7f7
774	chr20	37600000	41700000	q12	gpos75	#636363
775	chr20	41700000	42100000	q13.11	gneg	#f7f7f7
776	chr20	42100000	46400000	q13.12	gpos25	#cccccc
777	chr20	46400000	49800000	q13.13	gneg	#f7f7f7
778	chr20	49800000	55000000	q13.2	gpos75	#636363
779	chr20	55000000	56500000	q13.31	gneg	#f7f7f7
780	chr20	56500000	58400000	q13.32	gpos50	#969696
781	chr20	58400000	63025520	q13.33	gneg	#f7f7f7
782	chr21	0	2800000	p13	gvar	#045a8d
783	chr21	2800000	6800000	p12	stalk	#be8c2b
784	chr21	6800000	10900000	p11.2	gvar	#045a8d
785	chr21	10900000	13200000	p11.1	acen	#2b8cbe
786	chr21	13200000	14300000	q11.1	acen	#2b8cbe
787	chr21	14300000	16400000	q11.2	gneg	#f7f7f7
788	chr21	16400000	24000000	q21.1	gpos100	#252525
789	chr21	24000000	26800000	q21.2	gneg	#f7f7f7
790	chr21	26800000	31500000	q21.3	gpos75	#636363
791	chr21	31500000	35800000	q22.11	gneg	#f7f7f7
792	chr21	35800000	37800000	q22.12	gpos50	#969696
793	chr21	37800000	39700000	q22.13	gneg	#f7f7f7
794	chr21	39700000	42600000	q22.2	gpos50	#969696
795	chr21	42600000	48129895	q22.3	gneg	#f7f7f7
796	chr22	0	3800000	p13	gvar	#045a8d
797	chr22	3800000	8300000	p12	stalk	#be8c2b
798	chr22	8300000	12200000	p11.2	gvar	#045a8d
799	chr22	12200000	14700000	p11.1	acen	#2b8cbe
800	chr22	14700000	17900000	q11.1	acen	#2b8cbe
801	chr22	17900000	22200000	q11.21	gneg	#f7f7f7
802	chr22	22200000	23500000	q11.22	gpos25	#cccccc
803	chr22	23500000	25900000	q11.23	gneg	#f7f7f7
804	chr22	25900000	29600000	q12.1	gpos50	#969696
805	chr22	29600000	32200000	q12.2	gneg	#f7f7f7
806	chr22	32200000	37600000	q12.3	gpos50	#969696
807	chr22	37600000	41000000	q13.1	gneg	#f7f7f7
808	chr22	41000000	44200000	q13.2	gpos50	#969696
809	chr22	44200000	48400000	q13.31	gneg	#f7f7f7
810	chr22	48400000	49400000	q13.32	gpos50	#969696
811	chr22	49400000	51304566	q13.33	gneg	#f7f7f7
812	chrX	0	4300000	p22.33	gneg	#f7f7f7
813	chrX	4300000	6000000	p22.32	gpos50	#969696
814	chrX	6000000	9500000	p22.31	gneg	#f7f7f7
815	chrX	9500000	17100000	p22.2	gpos50	#969696
816	chrX	17100000	19300000	p22.13	gneg	#f7f7f7
817	chrX	19300000	21900000	p22.12	gpos50	#969696
818	chrX	21900000	24900000	p22.11	gneg	#f7f7f7
819	chrX	24900000	29300000	p21.3	gpos100	#252525
820	chrX	29300000	31500000	p21.2	gneg	#f7f7f7
821	chrX	31500000	37600000	p21.1	gpos100	#252525
822	chrX	37600000	42400000	p11.4	gneg	#f7f7f7
823	chrX	42400000	46400000	p11.3	gpos75	#636363
824	chrX	46400000	49800000	p11.23	gneg	#f7f7f7
825	chrX	49800000	54800000	p11.22	gpos25	#cccccc
826	chrX	54800000	58100000	p11.21	gneg	#f7f7f7
827	chrX	58100000	60600000	p11.1	acen	#2b8cbe
828	chrX	60600000	63000000	q11.1	acen	#2b8cbe
829	chrX	63000000	64600000	q11.2	gneg	#f7f7f7
830	chrX	64600000	67800000	q12	gpos50	#969696
831	chrX	67800000	71800000	q13.1	gneg	#f7f7f7
832	chrX	71800000	73900000	q13.2	gpos50	#969696
833	chrX	73900000	76000000	q13.3	gneg	#f7f7f7
834	chrX	76000000	84600000	q21.1	gpos100	#252525
835	chrX	84600000	86200000	q21.2	gneg	#f7f7f7
836	chrX	86200000	91800000	q21.31	gpos100	#252525
837	chrX	91800000	93500000	q21.32	gneg	#f7f7f7
838	chrX	93500000	98300000	q21.33	gpos75	#636363
839	chrX	98300000	102600000	q22.1	gneg	#f7f7f7
840	chrX	102600000	103700000	q22.2	gpos50	#969696
841	chrX	103700000	108700000	q22.3	gneg	#f7f7f7
842	chrX	108700000	116500000	q23	gpos75	#636363
843	chrX	116500000	120900000	q24	gneg	#f7f7f7
844	chrX	120900000	128700000	q25	gpos100	#252525
845	chrX	128700000	130400000	q26.1	gneg	#f7f7f7
846	chrX	130400000	133600000	q26.2	gpos25	#cccccc
847	chrX	133600000	138000000	q26.3	gneg	#f7f7f7
848	chrX	138000000	140300000	q27.1	gpos75	#636363
849	chrX	140300000	142100000	q27.2	gneg	#f7f7f7
850	chrX	142100000	147100000	q27.3	gpos100	#252525
851	chrX	147100000	155270560	q28	gneg	#f7f7f7
852	chrY	0	2500000	p11.32	gneg	#f7f7f7
853	chrY	2500000	3000000	p11.31	gpos50	#969696
854	chrY	3000000	11600000	p11.2	gneg	#f7f7f7
855	chrY	11600000	12500000	p11.1	acen	#2b8cbe
856	chrY	12500000	13400000	q11.1	acen	#2b8cbe
857	chrY	13400000	15100000	q11.21	gneg	#f7f7f7
858	chrY	15100000	19800000	q11.221	gpos50	#969696
859	chrY	19800000	22100000	q11.222	gneg	#f7f7f7
860	chrY	22100000	26200000	q11.223	gpos50	#969696
861	chrY	26200000	28800000	q11.23	gneg	#f7f7f7
862	chrY	28800000	59373566	q12	gvar	#045a8d
